Area;Indicator _English;Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;
Social;Population;P;92543;93427;94253;95137;95963;96847;97673;98557;99383;100267;101093;101977;102803;103687;104513;105397;106223;107107;107933;108817;109643;110527;111353;112237;113063;113947;114773;115657;116483;117367;118193;119077;119903;120787;121613;122497;123323;124207;125033;125917;126743;127627;128453;129227;129988;130756;131488;132129;132802;133450;134091;134735;135404;136072;137882;137462;137072,01;138639,5;139273;142006,2;142454,8;142848;141141,5;142515,8;143863,5;143883,5;144020,5;144110,5;144155,5;144157,4;144118,1;;;;;
Social;Railway length;RL;34302,42424;35263,63636;36224,84848;37186,06061;38147,27273;39108,48485;40069,69697;41030,90909;41992,12121;42953,33333;43700;45300;46300;46600;47500;48600;49100;50600;51700;53000;53300;53900;53317;54597;54764;55220;55818;55976;56236;56996;57899;57800;58100;58600;59000;62389;64900;66000;66400;67400;68700;70058;71900;73000;74400;75437,6;77083,8;77965,903;79687,282;85517,886;91178,479;93249,643;97625,484;103144,637;111821,116;120970,4;123991,9;126969,9;133584,1673;155524,8906;161010,0714;166495,2522;188435,9756;193921,1564;199406,3372;221347,0606;226832,2414;232317,4222;254258,1455;259743,3264;265228,5072;;;;;
Social;Highway length;HL;347319,3939;376429,0909;405538,7879;434648,4848;463758,1818;492867,8788;521977,5758;551087,2727;580196,9697;609306,6667;636700;675400;699900;715600;737900;783600;823400;855600;890200;875800;888250;897500;907000;915100;926700;942400;962800;982200;999600;1014300;1028300;1041100;1056700;1083500;1117800;1157000;1185800;1226400;1278500;1351700;1679800;1698000;1765200;1809800;1870700;3345200;3456999;3583715;3730164;3860823;4008229;4106387;4237508;4356218,435;4463913;4577296;4696263;4773468,833;4923508,591;5390767,911;5507582,741;5624397,571;6091656,89;6208471,72;6325286,55;6792545,869;6909360,699;7026175,529;7493434,849;7610249,679;7727064,509;;;;;
Social;Highway density;HD;2,41;2,43;2,49;2,51;2,57;2,59;2,65;2,67;2,73;2,75;2,81;2,83;2,89;3,91;3,97;4,99;5,05;6,07;6,13;7,15;7,21;8,23;8,29;9,31;10,68;11,7;13,07;14,09;15,46;16,48;17,85;18,87;20,24;21,26;22,63;23,65;25,02;26,04;27,41;28,43;29,8;30,82;32,19;33,21;34,58;35,6;36,97;37,99;39,36;40,38;41,45;42,77;44,14;45,38;46,5;47,68;48,23;49,58;49,58;49,58;49,58;49,58;49,58;50,39666667;51,34666667;36,99;38,01;39,38;44,16;45,4;46,52;;;;;
Economic;GDP;GDP;64,34;76,34;88,34;100,34;112,34;124,34;136,34;148,34;160,34;172,34;184,34;196,34;208,34;220,34;232,34;244,34;256,34;268,34;333,31;398,28;463,25;528,22;593,19;658,16;723,13;788,1;853,07;918,04;983,01;1047,98;1644;2100;2556;3012;3468;3924;4380;4836;5292;5748;7857,68;109655;120332;135822;159878;184937;216314;265810;314045;240902;401512;473104;518942;590533;636371,42;707962,67;753800,73;825391,98;878547,2235;935125,6647;987399,1894;1036472,929;1084565,273;1132069,232;1179276,519;1226329,652;1273052,812;1319391,934;1365174,834;1410498,639;1455211,446;;;;;
Economic;Unemployment rate;UR;;;;;;;;;;;;;;;;;;;5,3;5,4;4,9;3,8;3,2;2,3;1,9;1,8;2;2;2;2,6;2,5;2,3;2,3;2,6;2,8;2,9;3;3,1;3,1;3,1;3,1;3,6;4;4,3;4,2;4,2;4,1;4;4,2;4,3;4,1;4,1;4,1;4,05;4,1;4,05;4,02;3,9;3,8;3,8;3,7;3,7;3,6;3,7;3,6;3,5;3,4;3,3;3,3;3,3;3,2;;;;;
Economic;Total investment in enviornmental pollution control;TIEPC;13,34;13,43;13,52;13,61;13,7;13,79;13,88;13,97;14,06;14,15;14,24;14,33;14,42;14,51;14,6;14,69;14,78;14,87;14,96;15,05;15,14;15,23;15,32;15,41;15,5;15,59;15,68;15,77;15,86;15,95;16,04;16,13;16,22;16,31;16,4;16,49;16,58;16,67;16,76;16,85;16,94;17,03;17,12;17,21;18,21;18,21;18,21;18,21;18,21;20,36;20,36;20,36;20,36;21,63;21,63;21,63;22,138;22,46457143;22,79114286;24,09742857;24,424;24,75057143;26,05685714;26,38342857;26,71;28,01628571;28,34285714;28,66942857;29,97571429;30,30228571;30,62885714;;;;;
Enviornmental;Land area, sq. km;LA;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;9965626,4;;;;;
Enviornmental;Wilderness patches area, sq.q;WPA;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4384875,616;4285219,352;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4185563,088;4085906,824;4085906,824;4085906,824;4085906,824;4085906,824;4085906,824;4085906,824;3986250,56;3986250,56;3986250,56;3986250,56;3986250,56;3986250,56;3986250,56;3986250,56;3886594,296;3886594,296;3886594,296;3886594,296;3786938,032;3786938,032;3786938,032;3786938,032;3687281,768;3687281,768;3687281,768;3687281,768;3687281,768;3587625,504;3587625,504;3587625,504;3587625,504;3587625,504;3587625,504;3487969,24;3487969,24;3487969,24;3388312,976;3388312,976;3288656,712;3189000,448;3189000,448;3189000,448;3189000,448;3189000,448;;;;;
Enviornmental;Ratio of wilderness areas (%);RWA;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,43;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,41;0,41;0,41;0,41;0,41;0,41;0,41;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,39;0,39;0,39;0,39;0,38;0,38;0,38;0,38;0,37;0,37;0,37;0,37;0,37;0,36;0,36;0,36;0,36;0,36;0,36;0,35;0,35;0,35;0,34;0,34;0,33;0,32;0,32;0,32;0,32;0,32;;;;;
