Criteria;Province;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Highway density;Beijing;17,63690476;17,99404762;18,70833333;19,20238095;20,13690476;34,53571429;37,75;39,85119048;39,05952381;43,32142857;43,68452381;44,20833333;44,89880952;47,05952381;48,39880952;50,48809524;53,54166667;54,18452381;54,30952381;54,86904762;57,42857143;61,06547619;64,44642857;66,91666667;68,64285714;70,30357143;71,92857143;73,25;74,39285714;76,33928571;80,93452381;82,68452381;85,4702381;86,0297619;87,08333333;87,47619048;122,0416667;123,5357143;121,0714286;123,5416667;125,6785714;127,0654762;127,9285714;129,0059524;130,0535714;130,2678571;131,4232143;132,2761905;133,1291667;133,9821429;134,835119;135,6880952;136,5410714;137,3940476;138,2470238;139,1;139,9529762;140,8059524;141,6589286;142,5119048;143,364881
Highway density;Tianjin;28,27075756;28,63234465;28,99393173;29,35551882;29,7171059;30,07869299;30,44028007;30,80186716;31,16345424;31,52504133;31,88662842;32,2482155;32,60980259;32,97138967;33,33297676;33,55752212;33,84955752;34,67256637;34,86725664;35,24778761;35,46017699;36;36,17699115;36,43362832;36,77876106;37,54867257;37,73451327;37,9380531;38,36283186;78,26548673;79,16814159;85,37168142;85,80530973;89,98230088;93,04424779;95,89380531;100,1415929;102,0442478;106,7256637;126,6902655;131,2566372;134,1858407;136,2035398;139,0973451;142,5663717;146,460177;148,9761062;152,0672566;155,1584071;158,2495575;161,340708;164,4318584;167,5230088;170,6141593;173,7053097;176,7964602;179,8876106;182,9787611;186,0699115;189,1610619;192,2522124
Highway density;Hebei;16,96537027;17,80500799;19,05700586;18,38465637;18,59509856;18,96270645;19,41236015;20,22962174;21,44912094;22,00213106;21,24826851;21,31806074;21,37666489;21,41022909;21,58444326;21,68247203;21,92914225;22,15077251;22,53542888;22,90463506;23,24986681;25,28716036;25,75066596;26,20937666;26,902504;27,50665956;28,84709643;29,83963772;30,50772509;30,98668087;31,51411827;33,35908364;33,60628663;34,83803942;37,40010655;40,43367075;76,59989345;78,45764518;79,64997336;81,05221097;82,22908897;83,62546617;86,86467768;92,96323921;95,47149707;98,32338839;102,8504529;106,6507192;110,4509856;114,251252;118,0515184;121,8517848;125,6520511;129,4523175;133,2525839;137,0528503;140,8531167;144,6533831;148,4536494;152,2539158;156,0541822
Highway density;Shanxi;17,9865643;17,77671145;17,90083173;18,11580294;18,39987204;18,73768394;19,22520793;19,69609725;20,38899552;20,38899552;17,44145873;17,44145873;17,59756878;17,84197057;18,29942418;18,40179143;18,72232885;18,82789507;19,11388356;19,31733845;19,69545745;19,85924504;20,18809981;20,6078055;20,91682662;21,52527191;22,97568778;28,17850288;31,06845809;33,78566859;35,44977607;36,46385157;38,13883557;40,38515675;42,10684581;44,50607806;72,25207933;76,69161868;79,82917466;81,46513116;84,22520793;86,24952015;88,14523353;89,20921305;89,85028791;90,18554063;91,60108765;92,55879718;93,51650672;94,47421625;95,43192578;96,38963532;97,34734485;98,30505438;99,26276392;100,2204734;101,178183;102,1358925;103,093602;104,0513116;105,0090211
Highway density;Inner Mongolia;2,333474218;2,65046492;2,931191885;2,455029586;2,561961116;2,651056636;2,824513948;3,082924768;3,172865596;2,009213863;2,959932375;3,030938292;3,113102282;3,207016061;3,166187658;3,228909552;3,413355875;3,548943364;3,617920541;3,64158918;3,657988166;3,66830093;3,694336433;3,701521555;3,736432798;3,783009298;3,866779374;4,225866441;4,939137785;5,39509721;5,692814877;5,951648352;6,143110735;6,266694844;6,422316145;6,680388842;10,88436179;11,71682164;12,45038039;12,74353339;13,35536771;13,6090448;13,8430262;14,16018597;14,5534235;14,82451395;15,14043956;15,45457312;15,76870668;16,08284024;16,3969738;16,71110735;17,02524091;17,33937447;17,65350803;17,96764159;18,28177515;18,59590871;18,91004227;19,22417582;19,53830938
Highway density;Liaoning;17,22344071;18,60795065;18,59835504;19,35023989;19,44345442;19,94242632;20,36120631;20,62234407;20,79986292;20,95819054;20,37422892;20,37422892;20,37354352;20,47840987;21,29403701;22,62234407;24,23714873;25,45167923;26,07882111;26,48937629;27,49074709;27,54969157;28,47703907;28,53872515;29,30980123;29,76970528;29,98834818;30,18574366;30,48869088;30,8567512;31,21795751;31,94174092;32,93420151;34,33516107;35,9252913;36,68334476;67,02261823;67,23851953;69,32419465;69,30568883;69,59904044;71,29952022;72,35229609;76,06100069;79,11583276;82,4982865;85,01370802;87,92981494;90,84592186;93,76202879;96,67813571;99,59424263;102,5103496;105,4264565;108,3425634;111,2586703;114,1747772;117,0908842;120,0069911;122,923098;125,8392049
Highway density;Jilin;9,568836713;9,638740662;9,66488794;9,868196371;10,12059765;10,42636073;10,85538954;12,48986126;12,71931697;12,56403415;12,56403415;12,82070438;12,83191035;12,86819637;12,95144077;12,95144077;13,14034152;13,17395945;13,32219851;13,51440768;14,12379936;14,46638207;14,51013874;15,14087513;15,78495197;16,71344717;17,1280683;17,64941302;18,04268943;18,41835646;18,79188901;21,20971185;21,92902882;23,36125934;24,97118463;26,8452508;45,06083244;45,59498399;46,47758805;47,18783351;48,2588047;48,96157951;49,73745998;50,2620064;51,24919957;51,93489861;52,66654216;53,41237994;54,15821772;54,9040555;55,64989328;56,39573106;57,14156884;57,88740662;58,6332444;59,37908218;60,12491996;60,87075774;61,61659552;62,3624333;63,10827108
Highway density;Heilongjiang;8,229551451;7,738566403;7,764291996;7,85817942;8,230211082;8,820800352;9,473834653;9,558927001;9,849824099;10,12686895;9,804309587;9,837291117;9,886763412;9,959322779;9,981530343;10,00153914;10,03935796;10,13412489;10,25;10,3441073;10,90963061;10,37554969;10,52814424;10,55914688;10,63236588;10,73416887;10,77110818;10,91270888;10,94239226;10,97801231;11,05628848;13,84762533;13,86235708;14,31904134;14,69239226;14,74868074;30,63654354;30,98262973;33,1673263;33,30474934;33,40919085;34,21108179;34,97427441;35,22559367;35,72207564;35,89116095;36,43722515;36,84802111;37,25881706;37,66961302;38,08040897;38,49120493;38,90200088;39,31279683;39,72359279;40,13438874;40,5451847;40,95598065;41,36677661;41,77757256;42,18836851
Highway density;Shanghai;26,19047619;26,96825397;27,22222222;27,42857143;27,65079365;28,0952381;28,42857143;29,34920635;31,3968254;33,87301587;33,58730159;33,11111111;33,47619048;33,47619048;33,9047619;32,66666667;37,26984127;42,55555556;43,3015873;46,0952381;48,41269841;50,23809524;57,53968254;58,36507937;59,06349206;60,11111111;61,6031746;62,87301587;65,14285714;67,15873016;68,65079365;96,47619048;99,77777778;102,9206349;123,8888889;128,7301587;164,952381;177,1904762;182,4920635;185,4976064;190,0634921;191,8095238;199,0634921;200,5238095;205,4761905;209,4444444;213,768254;217,9365079;222,1047619;226,2730159;230,4412698;234,6095238;238,7777778;242,9460317;247,1142857;251,2825397;255,4507937;259,6190476;263,7873016;267,9555556;272,1238095
Highway density;Jiangsu;12,09746589;13,10233918;13,63547758;14,47270955;14,65107212;14,88693957;15,53898635;16,3791423;17,27192982;17,88596491;19,30214425;19,63840156;20,0877193;20,77290448;21,41325536;21,86744639;22,56530214;23,21442495;23,57017544;23,98538012;24,14424951;24,29727096;24,68323587;24,85867446;25,23489279;25,31189084;25,9834308;26,41520468;26,63840156;27,04580897;27,4834308;57,37426901;58,61695906;63,90350877;76,27875244;80,64230019;123,754386;130,3430799;137,3586745;140,1588694;146,4980507;148,3888889;150,2124756;152,1384016;153,5292398;154,7807018;156,6400585;158,2500975;159,8601365;161,4701754;163,0802144;164,6902534;166,3002924;167,9103314;169,5203704;171,1304094;172,7404483;174,3504873;175,9605263;177,5705653;179,1806043
